distanceMm	sphereD	x	y	expected	tolerance
300.0	0.15	0	0	1.0	2e-05
300.0	0.15	16	0	0.9905640681835842	2e-05
300.0	0.15	64	0	0.9579082527587562	2e-05
300.0	0.15	128	0	0.9063155972673538	2e-05
300.0	0.15	256	0	0.7870657402162459	2e-05
300.0	0.15	512	0	0.5554885225459073	2e-05
300.0	0.15	768	0	0.40497411619359	2e-05
300.0	0.15	1024	0	0.3552100977065062	2e-05
300.0	0.15	1024	0	0.3552100977065062	2e-05
300.0	0.15	1024	224	0.3128831115324037	2e-05
300.0	0.15	1024	224	0.3128831115324037	2e-05
300.0	0.15	512	256	0.4101613906209502	2e-05
300.0	0.15	960	480	0.2691307763329339	2e-05
300.0	0.15	0	384	0.40497411619359	2e-05
300.0	0.15	1664	96	0.6237744447761648	2e-05
300.0	0.15	1536	768	0.41016139062095014	2e-05
300.0	0.25	0	0	1.0	2e-05
300.0	0.25	16	0	0.9899164622652956	2e-05
300.0	0.25	64	0	0.9483415636145883	2e-05
300.0	0.25	128	0	0.8724067762796062	2e-05
300.0	0.25	256	0	0.6847810706096588	2e-05
300.0	0.25	512	0	0.3453465744367632	2e-05
300.0	0.25	768	0	0.16687974541961942	2e-05
300.0	0.25	1024	0	0.1177023963073022	2e-05
300.0	0.25	1024	0	0.1177023963073022	2e-05
300.0	0.25	1024	224	0.11171179386117208	2e-05
300.0	0.25	1024	224	0.11171179386117208	2e-05
300.0	0.25	512	256	0.19484906148688308	2e-05
300.0	0.25	960	480	0.11415136995969616	2e-05
300.0	0.25	0	384	0.16687974541961942	2e-05
300.0	0.25	1664	96	0.4417478166183922	2e-05
300.0	0.25	1536	768	0.19484906148688305	2e-05
300.0	0.4	0	0	1.0	2e-05
300.0	0.4	16	0	0.9883428044656167	2e-05
300.0	0.4	64	0	0.9253496978928318	2e-05
300.0	0.4	128	0	0.7935436086944735	2e-05
300.0	0.4	256	0	0.473204128301849	2e-05
300.0	0.4	512	0	0.047309963597242134	2e-05
300.0	0.4	768	0	-0.05148932428645482	2e-05
300.0	0.4	1024	0	-0.057226603909110885	2e-05
300.0	0.4	1024	0	-0.057226603909110885	2e-05
300.0	0.4	1024	224	-0.03766033401770187	2e-05
300.0	0.4	1024	224	-0.03766033401770187	2e-05
300.0	0.4	512	256	-0.033921597694269966	2e-05
300.0	0.4	960	480	-0.028845611122475013	2e-05
300.0	0.4	0	384	-0.05148932428645482	2e-05
300.0	0.4	1664	96	0.1424866825070934	2e-05
300.0	0.4	1536	768	-0.033921597694269966	2e-05
400.0	0.15	0	0	1.0	2e-05
400.0	0.15	16	0	0.987222192149414	2e-05
400.0	0.15	64	0	0.9411719031020728	2e-05
400.0	0.15	128	0	0.8665073574552262	2e-05
400.0	0.15	256	0	0.6978309129559847	2e-05
400.0	0.15	512	0	0.4101498331707582	2e-05
400.0	0.15	768	0	0.2701320583292267	2e-05
400.0	0.15	1024	0	0.23379182038684432	2e-05
400.0	0.15	1024	0	0.23379182038684432	2e-05
400.0	0.15	1024	224	0.18347887659531825	2e-05
400.0	0.15	1024	224	0.18347887659531825	2e-05
400.0	0.15	512	256	0.24956583143112132	2e-05
400.0	0.15	960	480	0.09576707568892959	2e-05
400.0	0.15	0	384	0.2701320583292267	2e-05
400.0	0.15	1664	96	0.4849484959867703	2e-05
400.0	0.15	1536	768	0.2495658314311213	2e-05
400.0	0.25	0	0	1.0	2e-05
400.0	0.25	16	0	0.9860985031264408	2e-05
400.0	0.25	64	0	0.9250928368765788	2e-05
400.0	0.25	128	0	0.8124760322160596	2e-05
400.0	0.25	256	0	0.5556570114087324	2e-05
400.0	0.25	512	0	0.20457729471983171	2e-05
400.0	0.25	768	0	0.10436518534078774	2e-05
400.0	0.25	1024	0	0.08971281237670961	2e-05
400.0	0.25	1024	0	0.08971281237670961	2e-05
400.0	0.25	1024	224	0.08301665090505962	2e-05
400.0	0.25	1024	224	0.08301665090505962	2e-05
400.0	0.25	512	256	0.08933913985203391	2e-05
400.0	0.25	960	480	0.07587165691712659	2e-05
400.0	0.25	0	384	0.10436518534078774	2e-05
400.0	0.25	1664	96	0.280793367220276	2e-05
400.0	0.25	1536	768	0.08933913985203391	2e-05
400.0	0.4	0	0	1.0	2e-05
400.0	0.4	16	0	0.9833630855761197	2e-05
400.0	0.4	64	0	0.8866675691447717	2e-05
400.0	0.4	128	0	0.6901447420929765	2e-05
400.0	0.4	256	0	0.2881766493004076	2e-05
400.0	0.4	512	0	-0.023819246851145073	2e-05
400.0	0.4	768	0	-0.030582589750286604	2e-05
400.0	0.4	1024	0	-0.030951390338600945	2e-05
400.0	0.4	1024	0	-0.030951390338600945	2e-05
400.0	0.4	1024	224	-0.016540553013039378	2e-05
400.0	0.4	1024	224	-0.016540553013039378	2e-05
400.0	0.4	512	256	-0.033597099101399616	2e-05
400.0	0.4	960	480	0.04036026964903905	2e-05
400.0	0.4	0	384	-0.030582589750286604	2e-05
400.0	0.4	1664	96	0.01028082434635715	2e-05
400.0	0.4	1536	768	-0.033597099101399616	2e-05
600.0	0.15	0	0	1.0	2e-05
600.0	0.15	16	0	0.9804328004515203	2e-05
600.0	0.15	64	0	0.90715087084865	2e-05
600.0	0.15	128	0	0.7897334601610155	2e-05
600.0	0.15	256	0	0.5537402606310167	2e-05
600.0	0.15	512	0	0.2511714696873265	2e-05
600.0	0.15	768	0	0.11471421787327811	2e-05
600.0	0.15	1024	0	0.039951038836369815	2e-05
600.0	0.15	1024	0	0.039951038836369815	2e-05
600.0	0.15	1024	224	0.0011241377736028613	2e-05
600.0	0.15	1024	224	0.0011241377736028613	2e-05
600.0	0.15	512	256	0.13392640167534492	2e-05
600.0	0.15	960	480	0.0	2e-05
600.0	0.15	0	384	0.11471421787327811	2e-05
600.0	0.15	1664	96	0.32292949190896514	2e-05
600.0	0.15	1536	768	0.13392640167534492	2e-05
600.0	0.25	0	0	1.0	2e-05
600.0	0.25	16	0	0.9779477467506211	2e-05
600.0	0.25	64	0	0.8738126588110956	2e-05
600.0	0.25	128	0	0.6892965726510715	2e-05
600.0	0.25	256	0	0.35083265532915203	2e-05
600.0	0.25	512	0	0.08322816297777157	2e-05
600.0	0.25	768	0	0.05544913703159226	2e-05
600.0	0.25	1024	0	0.036691095877166756	2e-05
600.0	0.25	1024	0	0.036691095877166756	2e-05
600.0	0.25	1024	224	0.0011231668325805246	2e-05
600.0	0.25	1024	224	0.0011231668325805246	2e-05
600.0	0.25	512	256	0.0571344058092988	2e-05
600.0	0.25	960	480	0.0	2e-05
600.0	0.25	0	384	0.05544913703159226	2e-05
600.0	0.25	1664	96	0.1234611589190373	2e-05
600.0	0.25	1536	768	0.0571344058092988	2e-05
600.0	0.4	0	0	1.0	2e-05
600.0	0.4	16	0	0.9719080341761893	2e-05
600.0	0.4	64	0	0.7959677657330728	2e-05
600.0	0.4	128	0	0.4797187805969549	2e-05
600.0	0.4	256	0	0.054324447822438365	2e-05
600.0	0.4	512	0	-0.04046531981748015	2e-05
600.0	0.4	768	0	-0.007523923621386595	2e-05
600.0	0.4	1024	0	0.029519594840294983	2e-05
600.0	0.4	1024	0	0.029519594840294983	2e-05
600.0	0.4	1024	224	0.0011208026468164736	2e-05
600.0	0.4	1024	224	0.0011208026468164736	2e-05
600.0	0.4	512	256	-0.014457361692533734	2e-05
600.0	0.4	960	480	0.0	2e-05
600.0	0.4	0	384	-0.007523923621386595	2e-05
600.0	0.4	1664	96	-0.0473404510187101	2e-05
600.0	0.4	1536	768	-0.014457361692533734	2e-05
